"Gene","adj.P.Val","adj.P.Val.1","adj.P.Val.2"
"TC07003339.hg.1:3",9.4107876022906e-06,2.5500119465471e-41,1.63212272686815e-28
"TC02003785.hg.1:2",9.53066137565404e-06,1.44030696587489e-24,2.42642551896737e-12
"TC14001345.hg.1:1",9.53066137565404e-06,1.18973751163878e-27,5.04303548795964e-16
"TC01001520.hg.1:1",9.53999382743108e-06,6.87590845436856e-29,2.29878690397494e-14
"TC03002182.hg.1:1",9.95778398054697e-06,7.30548855313603e-36,2.45010246573866e-20
"TC22001435.hg.1:2",9.98505179348738e-06,3.31336485647248e-32,6.81962562732152e-26
"TC19002370.hg.1:2",1.04508451052234e-05,9.46952049566231e-28,4.00752690421807e-14
"TC17002137.hg.1:1",1.04516881877214e-05,9.16549895537529e-32,2.7762987777328e-19
"TC0X000366.hg.1:1",1.05260493486544e-05,1.49312222228026e-28,1.01169118397206e-15
"TC22000565.hg.1:1",1.05260493486544e-05,1.3264789004035e-14,5.22898785702833e-07
"TC12002032.hg.1:4",1.07068214001697e-05,3.02320397403258e-21,1.64815514443462e-11
"TC05003402.hg.1:1",1.08930443519019e-05,5.63705041816034e-22,3.33041684291422e-12
"TC05001538.hg.1:1",1.14298470393071e-05,2.59531889952537e-27,3.88667720767922e-18
"TC16001318.hg.1:1",1.14634376562811e-05,1.84889491359141e-25,4.24821936843178e-16
"TC02000558.hg.1:1",1.15486665478658e-05,3.96939649142194e-40,5.09700178819219e-27
"TC04000030.hg.1:5",1.15525491237009e-05,1.22947147085431e-20,5.58161047973929e-13
"TC22001499.hg.1:1",1.16736099322949e-05,8.57070669779419e-27,2.60755548472771e-15
"TC11001924.hg.1:1",1.19224670326433e-05,9.51171576065888e-28,3.25173303949059e-15
"TC22000569.hg.1:3",1.19368705761992e-05,7.3739134075926e-30,4.91065822223641e-23
"TC21000189.hg.1:4",1.19920279299629e-05,1.19953492907235e-43,1.88252961449697e-21
"TC17002618.hg.1:1",1.20110404004107e-05,2.45058054969836e-30,1.29169945289003e-15
"TC14002246.hg.1:1",1.20110404004107e-05,2.9180226029645e-34,1.37946894887034e-27
"TC10000721.hg.1:2",1.20110404004107e-05,5.48232779185623e-32,1.4541793185603e-15
"TC22001436.hg.1:1",1.20110404004107e-05,3.96052017590918e-38,2.38345526669561e-27
"TC20000979.hg.1:2",1.20110404004107e-05,2.47196490525728e-44,4.19688220547195e-22
"TC12000372.hg.1:3",1.24454230656946e-05,3.49119414417331e-32,3.48875375340757e-23
